enzyme_id,compound_id
EC1.1.1.43,C00345
EC1.1.1.43,C01218
EC1.1.1.43,C00006
EC1.1.1.43,C00005
EC1.1.1.433,C00593
EC1.1.1.433,C05123
EC1.1.1.434,C03827
EC1.1.1.434,C20781
EC1.1.1.435,C20836
EC1.1.1.435,C18028
EC1.1.1.436,C00256
EC1.1.1.436,C00186
EC1.1.1.44,C00345
EC1.1.1.44,C00199
EC1.1.1.44,C00006
EC1.1.1.44,C00005
EC1.1.1.47,C00221
EC1.1.1.47,C00198
EC1.1.1.48,C00124
EC1.1.1.48,C02669
EC1.1.1.48,C03383
EC1.1.1.49,C01172
EC1.1.1.49,C01236
EC1.1.1.49,C00006
EC1.1.1.49,C00005
EC1.1.1.51,C00951
EC1.1.1.51,C00468
EC1.1.1.51,C01227
EC1.1.1.51,C04295
EC1.1.1.51,C07635
EC1.1.1.51,C00674
EC1.1.1.51,C20252
EC1.1.1.51,C00523
EC1.1.1.51,C03852
EC1.1.1.51,C03917
EC1.1.1.51,C00535
EC1.1.1.51,C00280
EC1.1.1.53,C05470
EC1.1.1.53,C05481
EC1.1.1.53,C05472
EC1.1.1.53,C05482
EC1.1.1.53,C05478
EC1.1.1.53,C05483
EC1.1.1.53,C05480
EC1.1.1.53,C05484
EC1.1.1.53,C03852
EC1.1.1.53,C03917
EC1.1.1.56,C00474
EC1.1.1.56,C00309
EC1.1.1.57,C00514
EC1.1.1.57,C00905
EC1.1.1.58,C00558
EC1.1.1.58,C00817
EC1.1.1.6,C00424
EC1.1.1.6,C00546
EC1.1.1.6,C05235
EC1.1.1.6,C00583
EC1.1.1.6,C00116
EC1.1.1.6,C00184
EC1.1.1.60,C00258
EC1.1.1.60,C01146
EC1.1.1.61,C00989
EC1.1.1.61,C00232
EC1.1.1.62,C05141
EC1.1.1.62,C05300
EC1.1.1.62,C05284
EC1.1.1.62,C18075
EC1.1.1.62,C00951
EC1.1.1.62,C00468
EC1.1.1.65,C00314
EC1.1.1.65,C00250
EC1.1.1.67,C00392
EC1.1.1.76,C01769
EC1.1.1.76,C03046
EC1.1.1.77,C01380
EC1.1.1.77,C00266
EC1.1.1.77,C00583
EC1.1.1.77,C00424
EC1.1.1.79,C00258
EC1.1.1.79,C00168
EC1.1.1.79,C00937
EC1.1.1.79,C00546
EC1.1.1.79,C00160
EC1.1.1.80,C00207
EC1.1.1.80,C01845
EC1.1.1.81,C00258
EC1.1.1.81,C00168
EC1.1.1.85,C06032
EC1.1.1.85,C00109
EC1.1.1.85,C04411
EC1.1.1.85,C00233
EC1.1.1.85,C04236
EC1.1.1.86,C04272
EC1.1.1.86,C04181
EC1.1.1.86,C06007
EC1.1.1.86,C14463
EC1.1.1.86,C06006
EC1.1.1.86,C06010
EC1.1.1.87,C05533
EC1.1.1.87,C00322
EC1.1.1.87,C05662
EC1.1.1.88,C00418
EC1.1.1.88,C00356
EC1.1.1.9,C00379
EC1.1.1.9,C00310
EC1.1.1.90,C00556
EC1.1.1.90,C00261
EC1.1.1.90,C05853
EC1.1.1.90,C00601
EC1.1.1.90,C03765
EC1.1.1.90,C06044
EC1.1.1.90,C06757
EC1.1.1.90,C06758
EC1.1.1.90,C07216
EC1.1.1.90,C07209
EC1.1.1.90,C07213
EC1.1.1.90,C07214
EC1.1.1.94,C00093
EC1.1.1.94,C00111
EC1.1.1.95,C00197
EC1.1.1.95,C03232
EC1.1.2.10,C00132
EC1.1.2.10,C00067
EC1.1.2.3,C00186
EC1.1.2.4,C00256
EC1.1.2.7,C00132
EC1.1.2.7,C00067
EC1.1.2.7,C00469
EC1.1.2.7,C06753
EC1.1.2.7,C06754
EC1.1.2.8,C00469
EC1.1.2.8,C06753
EC1.1.2.8,C06754
EC1.1.3.12,C00314
EC1.1.3.12,C00250
EC1.1.3.17,C00114
EC1.1.3.17,C00576
EC1.1.3.17,C00719
EC1.1.3.21,C00093
EC1.1.3.21,C00111
EC1.1.3.41,C00379
EC1.1.3.41,C00181
EC1.1.3.41,C00794
EC1.1.3.41,C00267
EC1.1.3.43,C01743
EC1.1.3.43,C17583
EC1.1.3.44,C17588
EC1.1.3.44,C17589
EC1.1.3.46,C03198
EC1.1.3.46,C03590
EC1.1.3.6,C00187
EC1.1.3.6,C00599
EC1.1.3.8,C01040
EC1.1.3.8,C00072
EC1.1.3.8,C03289
EC1.1.3.9,C00124
EC1.1.3.9,C00880
EC1.1.5.12,C00256
EC1.1.5.13,C03196
EC1.1.5.2,C00198
EC1.1.5.3,C00093
EC1.1.5.3,C00111
EC1.1.5.4,C00149
EC1.1.5.5,C00469
EC1.1.5.8,C00493
EC1.1.5.8,C02637
EC1.1.5.8,C00296
EC1.1.5.8,C00944
EC1.1.5.9,C00198
EC1.1.7.1,C02949
EC1.1.7.1,C00512
EC1.1.98.6,C00044
EC1.1.98.6,C00286
EC1.1.98.6,C00002
EC1.1.98.6,C00131
EC1.1.98.6,C00075
EC1.1.98.6,C00460
EC1.1.98.6,C00063
EC1.1.98.6,C00458
EC1.1.99.1,C00114
EC1.1.99.1,C00576
EC1.1.99.14,C00160
EC1.1.99.2,C02630
EC1.1.99.21,C00247
EC1.1.99.21,C00794
EC1.1.99.3,C00257
EC1.1.99.3,C06473
EC1.1.99.31,C03198
EC1.1.99.31,C03590
EC1.1.99.31,C01984
EC1.1.99.31,C02137
EC1.1.99.42,C00847
EC1.1.99.42,C06050
EC1.10.3.1,C00355
EC1.10.3.1,C00822
EC1.10.3.15,C12115
EC1.10.3.15,C20799
EC1.10.3.3,C00072
EC1.10.3.3,C05422
EC1.10.3.4,C01987
EC1.10.3.4,C02161
EC1.11.1.21,C02505
EC1.11.1.21,C00590
EC1.11.1.21,C15805
EC1.11.1.21,C00632
EC1.11.1.21,C05640
EC1.11.1.21,C02325
EC1.11.1.21,C15806
EC1.11.1.21,C02646
EC1.11.1.21,C15804
EC1.11.1.21,C12205
EC1.11.1.21,C15807
EC1.11.1.21,C07054
EC1.11.1.21,C21754
EC1.11.1.21,C00027
EC1.11.1.21,C00007
EC1.11.1.27,C00127
EC1.11.1.6,C00632
EC1.11.1.6,C05640
EC1.11.1.6,C00027
EC1.11.1.6,C00007
EC1.11.1.7,C00590
EC1.11.1.7,C15805
EC1.11.1.7,C02325
EC1.11.1.7,C15806
EC1.11.1.7,C02646
EC1.11.1.7,C15804
EC1.11.1.7,C12205
EC1.11.1.7,C15807
EC1.11.1.9,C00127
EC1.11.2.6,C00355
